transaction_id,order_date,customer_id,product_id,quantity,unit_price,total_sales,region,sales_channel,clean_order_date,product_name,category,brand,cost,selling_price,calc_revenue,total_profit
TRX00043,2024-05-31,CUST1111,1001,4,17296,69184,Jakarta,Online,2024-05-31,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX00045,2024-09-28,CUST1080,1001,9,17296,155664,Jakarta,Online,2024-09-28,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00164,2024-10-22,CUST1020,1001,5,17296,86480,Bandung,Offline,2024-10-22,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00165,2024-11-29,CUST1226,1001,9,17296,155664,Surabaya,Online,2024-11-29,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00212,2024-04-12,CUST1067,1001,3,17296,51888,Makassar,Offline,2024-04-12,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,51888,25557
TRX00215,2024-03-13,CUST1115,1001,2,17296,34592,Medan,Offline,2024-03-13,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,34592,17038
TRX00239,2024-06-03,CUST1234,1001,9,17296,155664,Jakarta,Online,2024-06-03,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00252,2024-11-03,CUST1159,1001,5,17296,86480,Surabaya,Online,2024-11-03,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00276,2024-02-15,CUST1223,1001,6,17296,103776,Jakarta,Online,2024-02-15,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX00359,2024-03-21,CUST1089,1001,5,17296,86480,Surabaya,Online,2024-03-21,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00380,2024-03-07,CUST1189,1001,7,17296,121072,Makassar,Online,2024-03-07,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX00383,2024-07-15,CUST1214,1001,5,17296,86480,Bandung,Online,2024-07-15,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00395,2024-07-06,CUST1073,1001,9,17296,155664,Bandung,Offline,2024-07-06,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00404,2024-10-25,CUST1245,1001,1,17296,17296,Bandung,Offline,2024-10-25,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,17296,8519
TRX00464,2024-04-21,CUST1028,1001,9,17296,155664,Bandung,Offline,2024-04-21,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00466,2024-06-03,CUST1073,1001,4,17296,69184,Makassar,Online,2024-06-03,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX00471,2024-04-25,CUST1153,1001,4,17296,69184,Bandung,Offline,2024-04-25,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX00514,2024-11-12,CUST1151,1001,2,17296,34592,Bandung,Online,2024-11-12,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,34592,17038
TRX00527,2024-05-06,CUST1253,1001,5,17296,86480,Makassar,Online,2024-05-06,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00531,2024-12-21,CUST1102,1001,10,17296,172960,Medan,Offline,2024-12-21,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,172960,85190
TRX00609,2024-12-17,CUST1226,1001,10,17296,172960,Bandung,Online,2024-12-17,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,172960,85190
TRX00662,2024-03-30,CUST1015,1001,5,17296,86480,Medan,Offline,2024-03-30,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX00664,2024-03-12,CUST1062,1001,2,17296,34592,Jakarta,Online,2024-03-12,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,34592,17038
TRX00675,2024-05-07,CUST1278,1001,9,17296,155664,Jakarta,Offline,2024-05-07,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00705,2024-02-07,CUST1017,1001,8,17296,138368,Surabaya,Online,2024-02-07,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,138368,68152
TRX00773,2024-08-28,CUST1027,1001,2,17296,34592,Makassar,Online,2024-08-28,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,34592,17038
TRX00781,2024-08-10,CUST1219,1001,10,17296,172960,Medan,Offline,2024-08-10,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,172960,85190
TRX00795,2024-05-09,CUST1242,1001,9,17296,155664,Bandung,Online,2024-05-09,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX00858,2024-05-30,CUST1229,1001,4,17296,69184,Bandung,Online,2024-05-30,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX00868,2024-07-03,CUST1150,1001,6,17296,103776,Bandung,Offline,2024-07-03,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX00912,2024-10-16,CUST1074,1001,10,17296,172960,Medan,Offline,2024-10-16,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,172960,85190
TRX00920,2024-06-25,CUST1249,1001,6,17296,103776,Medan,Online,2024-06-25,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX00933,2024-08-20,CUST1035,1001,6,17296,103776,Bandung,Offline,2024-08-20,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX00996,2024-09-12,CUST1068,1001,7,17296,121072,Makassar,Offline,2024-09-12,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX01014,2024-02-12,CUST1053,1001,9,17296,155664,Surabaya,Online,2024-02-12,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX01017,2024-03-28,CUST1014,1001,9,17296,155664,Jakarta,Offline,2024-03-28,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX01036,2024-02-22,CUST1144,1001,3,17296,51888,Surabaya,Online,2024-02-22,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,51888,25557
TRX01073,2024-07-31,CUST1188,1001,9,17296,155664,Jakarta,Offline,2024-07-31,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX01081,2024-06-10,CUST1281,1001,6,17296,103776,Surabaya,Offline,2024-06-10,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX01111,2024-01-28,CUST1124,1001,2,17296,34592,Makassar,Online,2024-01-28,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,34592,17038
TRX01137,2024-07-29,CUST1155,1001,7,17296,121072,Medan,Offline,2024-07-29,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX01184,2024-03-01,CUST1012,1001,1,17296,17296,Medan,Online,2024-03-01,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,17296,8519
TRX01188,2024-06-02,CUST1259,1001,5,17296,86480,Makassar,Offline,2024-06-02,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX01196,2024-05-23,CUST1015,1001,3,17296,51888,Surabaya,Offline,2024-05-23,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,51888,25557
TRX01202,2024-04-13,CUST1047,1001,1,17296,17296,Medan,Online,2024-04-13,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,17296,8519
TRX01208,2024-02-22,CUST1266,1001,1,17296,17296,Surabaya,Online,2024-02-22,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,17296,8519
TRX01227,2024-06-27,CUST1294,1001,5,17296,86480,Bandung,Online,2024-06-27,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,86480,42595
TRX01299,2024-08-08,CUST1111,1001,9,17296,155664,Makassar,Online,2024-08-08,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,155664,76671
TRX01312,2024-04-07,CUST1071,1001,8,17296,138368,Jakarta,Online,2024-04-07,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,138368,68152
TRX01389,2024-06-04,CUST1290,1001,8,17296,138368,Bandung,Offline,2024-06-04,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,138368,68152
TRX01392,2024-03-26,CUST1082,1001,8,17296,138368,Makassar,Offline,2024-03-26,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,138368,68152
TRX01409,2024-11-05,CUST1261,1001,10,17296,172960,Jakarta,Offline,2024-11-05,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,172960,85190
TRX01410,2024-03-16,CUST1218,1001,7,17296,121072,Surabaya,Offline,2024-03-16,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX01429,2024-07-01,CUST1083,1001,3,17296,51888,Jakarta,Offline,2024-07-01,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,51888,25557
TRX01484,2024-05-14,CUST1253,1001,7,17296,121072,Makassar,Offline,2024-05-14,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX01509,2024-03-18,CUST1153,1001,4,17296,69184,Medan,Offline,2024-03-18,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX01553,2024-04-02,CUST1209,1001,7,17296,121072,Bandung,Online,2024-04-02,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,121072,59633
TRX01589,2024-12-06,CUST1049,1001,6,17296,103776,Surabaya,Online,2024-12-06,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,103776,51114
TRX01773,2024-11-19,CUST1299,1001,4,17296,69184,Surabaya,Online,2024-11-19,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
TRX01785,2024-02-11,CUST1240,1001,4,17296,69184,Makassar,Online,2024-02-11,Lifebuoy Variant 1,Personal Care,Lifebuoy,8777,17296,69184,34076
